product_id,barcode,description,name,price,criticalStock,currentStock,product_category_id
1,ABC123,"This is a great product","Awesome Product",19,10,100,5
2,DEF456,"Another fantastic product","Amazing Product",29,5,50,3
3,GHI789,"A wonderful item","Fantastic Item",9,20,200,2
4,JKL012,"A must-have product","Incredible Product",39,2,20,4
5,MNO345,"A useful tool","Handy Tool",14,15,150,6
6,PQR678,"A reliable device","Trusty Device",79,3,30,7
7,STU901,"A high-quality item","Premium Item",49,8,80,3
8,VWX234,"A trendy accessory","Fashionable Accessory",24,12,120,1
9,YZa567,"A stylish clothing item","Chic Clothing",39,5,50,1
10,bCd890,"A fun toy","Playful Toy",9,30,300,8
11,efG123,"A durable item","Sturdy Item",59,4,40,7
12,hiJ456,"A comfortable product","Cozy Product",34,10,100,5
13,klM789,"A tasty treat","Delicious Treat",7,50,500,9
14,noP012,"An educational item","Informative Item",19,15,150,8
15,qRs345,"A versatile gadget","Handy Gadget",49,5,50,6
16,tUv678,"A useful tool","Useful Tool",12,25,250,6
17,wXy901,"A convenient product","Handy Product",29,8,80,7
18,zAB234,"A fun toy","Playful Toy",14,20,200,8
19,CDc567,"A stylish accessory","Fashionable Accessory",19,10,100,1
20,EFG890,"A high-quality item","Premium Item",99,3,30,3
21,HIj123,"A reliable device","Trusty Device",129,2,20,7
22,KLm456,"An elegant clothing item","Sophisticated Clothing",79,5,50,1
