timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686089728216,22,Get Sell Request,200,OK,Sell Resources Thread Group 1-1,text,true,,7475,973,5,5,http://localhost:8080/api/sells,21,0,0
1686089728231,18,Get Sell Request,200,OK,Sell Resources Thread Group 1-2,text,true,,7475,973,5,5,http://localhost:8080/api/sells,17,0,0
1686089728268,31,Get Sell Request,200,OK,Sell Resources Thread Group 1-3,text,true,,7475,973,8,8,http://localhost:8080/api/sells,31,0,0
1686089728283,38,Get Sell Request,200,OK,Sell Resources Thread Group 1-4,text,true,,7475,973,9,9,http://localhost:8080/api/sells,37,0,0
1686089728308,40,Get Sell Request,200,OK,Sell Resources Thread Group 1-5,text,true,,7475,973,10,10,http://localhost:8080/api/sells,39,0,0
1686089728323,48,Get Sell Request,200,OK,Sell Resources Thread Group 1-1,text,true,,7475,973,11,11,http://localhost:8080/api/sells,48,0,0
1686089728345,59,Get Sell Request,200,OK,Sell Resources Thread Group 1-2,text,true,,7475,973,12,12,http://localhost:8080/api/sells,59,0,0
1686089728345,62,Get Sell Request,200,OK,Sell Resources Thread Group 1-6,text,true,,7475,973,12,12,http://localhost:8080/api/sells,62,0,0
1686089728372,85,Get Sell Request,200,OK,Sell Resources Thread Group 1-7,text,true,,7475,973,14,14,http://localhost:8080/api/sells,84,0,0
1686089728381,93,Get Sell Request,200,OK,Sell Resources Thread Group 1-8,text,true,,7475,973,15,15,http://localhost:8080/api/sells,92,0,0
1686089728401,103,Get Sell Request,200,OK,Sell Resources Thread Group 1-3,text,true,,7475,973,16,16,http://localhost:8080/api/sells,102,0,0
1686089728410,113,Get Sell Request,200,OK,Sell Resources Thread Group 1-9,text,true,,7475,973,17,17,http://localhost:8080/api/sells,112,0,0
1686089728415,125,Get Sell Request,200,OK,Sell Resources Thread Group 1-4,text,true,,7475,973,18,18,http://localhost:8080/api/sells,124,0,0
1686089728427,129,Get Sell Request,200,OK,Sell Resources Thread Group 1-10,text,true,,7475,973,18,18,http://localhost:8080/api/sells,128,0,0
1686089728478,129,Get Sell Request,200,OK,Sell Resources Thread Group 1-12,text,true,,7475,973,20,20,http://localhost:8080/api/sells,129,0,0
1686089728454,161,Get Sell Request,200,OK,Sell Resources Thread Group 1-5,text,true,,7475,973,21,21,http://localhost:8080/api/sells,160,0,0
1686089728468,148,Get Sell Request,200,OK,Sell Resources Thread Group 1-1,text,true,,7475,973,21,21,http://localhost:8080/api/sells,148,0,0
1686089728463,157,Get Sell Request,200,OK,Sell Resources Thread Group 1-11,text,true,,7475,973,21,21,http://localhost:8080/api/sells,156,0,0
1686089728501,152,Get Sell Request,200,OK,Sell Resources Thread Group 1-2,text,true,,7475,973,22,22,http://localhost:8080/api/sells,152,0,0
1686089728501,163,Get Sell Request,200,OK,Sell Resources Thread Group 1-6,text,true,,7475,973,23,23,http://localhost:8080/api/sells,163,0,0
1686089728509,181,Get Sell Request,200,OK,Sell Resources Thread Group 1-13,text,true,,7475,973,24,24,http://localhost:8080/api/sells,180,0,0
1686089728543,160,Get Sell Request,200,OK,Sell Resources Thread Group 1-14,text,true,,7475,973,24,24,http://localhost:8080/api/sells,159,0,0
1686089728552,167,Get Sell Request,200,OK,Sell Resources Thread Group 1-7,text,true,,7475,973,25,25,http://localhost:8080/api/sells,166,0,0
1686089728564,177,Get Sell Request,200,OK,Sell Resources Thread Group 1-8,text,true,,7475,973,26,26,http://localhost:8080/api/sells,177,0,0
1686089728568,190,Get Sell Request,200,OK,Sell Resources Thread Group 1-15,text,true,,7475,973,26,26,http://localhost:8080/api/sells,190,0,0
1686089728575,189,Get Sell Request,200,OK,Sell Resources Thread Group 1-16,text,true,,7475,973,27,27,http://localhost:8080/api/sells,188,0,0
1686089728602,189,Get Sell Request,200,OK,Sell Resources Thread Group 1-3,text,true,,7475,973,28,28,http://localhost:8080/api/sells,189,0,0
1686089728620,184,Get Sell Request,200,OK,Sell Resources Thread Group 1-17,text,true,,7475,973,28,28,http://localhost:8080/api/sells,184,0,0
1686089728625,196,Get Sell Request,200,OK,Sell Resources Thread Group 1-9,text,true,,7475,973,29,29,http://localhost:8080/api/sells,196,0,0
1686089728635,203,Get Sell Request,200,OK,Sell Resources Thread Group 1-18,text,true,,7475,973,30,30,http://localhost:8080/api/sells,202,0,0
1686089728644,206,Get Sell Request,200,OK,Sell Resources Thread Group 1-4,text,true,,7475,973,30,30,http://localhost:8080/api/sells,206,0,0
1686089728660,215,Get Sell Request,200,OK,Sell Resources Thread Group 1-10,text,true,,7475,973,31,31,http://localhost:8080/api/sells,215,0,0
1686089728660,234,Get Sell Request,200,OK,Sell Resources Thread Group 1-19,text,true,,7475,973,32,32,http://localhost:8080/api/sells,233,0,0
1686089728706,193,Get Sell Request,200,OK,Sell Resources Thread Group 1-20,text,true,,7475,973,32,32,http://localhost:8080/api/sells,193,0,0
1686089728716,210,Get Sell Request,200,OK,Sell Resources Thread Group 1-21,text,true,,7475,973,33,33,http://localhost:8080/api/sells,209,0,0
1686089728710,223,Get Sell Request,200,OK,Sell Resources Thread Group 1-12,text,true,,7475,973,33,33,http://localhost:8080/api/sells,223,0,0
1686089728727,218,Get Sell Request,200,OK,Sell Resources Thread Group 1-5,text,true,,7475,973,34,34,http://localhost:8080/api/sells,217,0,0
1686089728729,227,Get Sell Request,200,OK,Sell Resources Thread Group 1-1,text,true,,7475,973,34,34,http://localhost:8080/api/sells,227,0,0
1686089728744,232,Get Sell Request,200,OK,Sell Resources Thread Group 1-11,text,true,,7475,973,35,35,http://localhost:8080/api/sells,232,0,0
1686089728753,241,Get Sell Request,200,OK,Sell Resources Thread Group 1-22,text,true,,7475,973,36,36,http://localhost:8080/api/sells,241,0,0
