Processed,Id,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Context,85053,Wed May 31 09:56:57 BST 2023,GET,https://location.services.mozilla.com/v1/country?key=7e40f68c-7938-4c5d-9f95-e61647c213eb,403,Forbidden,0,130,40,,false,
Out of Context,85054,Wed May 31 09:56:58 BST 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=113.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,85055,Wed May 31 09:56:58 BST 2023,GET,http://localhost:8080/,200,OK,0,853,6033,Medium,false,
Processed,85056,Wed May 31 09:56:58 BST 2023,GET,http://localhost:8080/content/css/loading.css,200,OK,16,827,3629,,false,
Processed,85057,Wed May 31 09:56:58 BST 2023,GET,http://localhost:8080/content/images/logo-jhipster.png,200,OK,15,827,605,,false,
Processed,85058,Wed May 31 09:56:58 BST 2023,GET,http://localhost:8080/main.7e1102e0.js,200,OK,31,844,5153433,Medium,false,
Processed,85059,Wed May 31 09:56:59 BST 2023,GET,http://localhost:8080/i18n/en.json?_=fd90a1c60a90c4bbdd5de321eb244891,200,OK,0,836,20600,Low,false,
Processed,85060,Wed May 31 09:56:59 BST 2023,GET,http://localhost:8080/c0285e5e9ebdce9056be.svg,200,OK,16,833,12225,,false,
Processed,85061,Wed May 31 09:56:59 BST 2023,GET,http://localhost:8080/management/info,200,OK,5,834,105,,false,
Processed,85062,Wed May 31 09:56:59 BST 2023,GET,http://localhost:8080/api/account,200,OK,5,834,397,,false,
Processed,85063,Wed May 31 09:56:59 BST 2023,GET,http://localhost:8080/favicon.ico,200,OK,0,831,1574,,false,
Processed,85064,Wed May 31 09:56:59 BST 2023,GET,http://localhost:8080/i18n/John%20Doe.json?_=fd90a1c60a90c4bbdd5de321eb244891,404,Not Found,0,841,163,,false,
Processed,85065,Wed May 31 09:57:00 BST 2023,GET,http://localhost:8080/,200,OK,0,853,6033,Medium,false,
Processed,85066,Wed May 31 09:57:00 BST 2023,GET,http://localhost:8080/content/css/loading.css,200,OK,0,827,3629,,false,
