id;city;municipality;first_line;second_line;postal_code;notes
1;Kerlukechester;Interactions Versatile hack;Rubber line applications;Sports withdrawal Architect;JSON supply-chains Pants;Berkshire Buckinghamshire
2;New Chadrick;override Kids Tasty;Awesome;index Berkshire;China generating solution;capacitor
3;East Rod;Expanded;navigate override SMTP;Alaska;Guilder;Human National Soap
4;Starkchester;Shoes;HTTP grow USB;Dinar;quantifying;bus
5;Port Ernest;calculating Texas invoice;Savings motivating Account;Luxembourg Awesome;Representative;calculate bus Cheese
6;Donavonfurt;Supervisor;disintermediate Architect Gloves;Rubber Orchestrator;fuchsia context-sensitive firewall;Pizza
7;West Everett;transparent purple alarm;COM;Fully-configurable;compressing Unbranded;withdrawal Marketing Gold
8;Richmond;implement;CSS compress;copying;Practical Factors;visionary Soft olive
9;South Aldaview;Soft Beauty;Awesome mint;Euro Chicken;users SDD;Mouse grow
10;Bernierland;District local turquoise;hour sexy;auxiliary;deposit;USB Seamless Ergonomic
