id;name;barcode;description;price;stock_current;stock_critical
1;Steel;Assistant;cross-platform Principal;35091;34790;81149
2;Computer Legacy deposit;THX Car;Soap withdrawal;40879;70307;57853
3;Incredible Korea;compressing withdrawal green;Bedfordshire Lao neutral;4184;16473;23281
4;digital;CFP orange;Village;95487;35518;58781
5;indigo JSON Mexico;Steel;solutions;27331;47574;66238
6;Rubber Chips;Keyboard;Center black pixel;28408;60076;78380
7;Renminbi rich South;virtual Stand-alone Fantastic;Buckinghamshire;8835;44109;86012
8;Implementation;application grey solution;Massachusetts Ergonomic Ergonomic;5859;10526;64809
9;full-range;back-end National Operations;Games;67286;61811;95388
10;transmit Incredible IB;Algeria Rustic;Taka;90493;33918;80631
