id;date;total_items;net_value;transport_value;taxes_value;total_value;transaction_token;costumer_id;payment_type_id;status_id;billing_type_id
1;2023-05-25T13:04:31;4964;78365;30235;75528;7660;holisticXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;1;1;1;1
2;2023-05-26T00:11:39;90576;55233;87970;15929;68631;FrozenXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;2;2;2;2
3;2023-05-26T03:45:41;11721;91091;24329;43437;16085;Maine exploit BedfordshireXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;3;3;3;3
4;2023-05-26T08:24:48;45558;82153;90565;80906;3936;visualizeXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;4;4;4;4
5;2023-05-25T22:44:14;95011;83287;23069;85377;76227;payment DollarXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;5;5;5;5
6;2023-05-25T23:14:49;87648;90787;60360;70408;11592;orchestrate connectXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;6;6;6;6
7;2023-05-26T09:01:10;77624;42105;8499;96913;23104;seizeXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;7;7;7;7
8;2023-05-25T12:22:20;77972;407;14591;19020;39569;Soft ShoesXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;8;8;8;8
9;2023-05-26T08:18:34;94654;24093;70530;32873;77032;GardenXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;9;9;9;9
10;2023-05-25T23:13:10;72998;24514;61080;61479;45212;MalaysiaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;10;10;10;10
